"","Species","Country","year","count"
"517","GUR","BE","X2014",1
"518","GUR","BE","X2014",0
"519","GUU","BE","X2014",730
"520","GUU","BE","X2014",0
"521","GUU","BE","X2014",0
"522","GUU","BE","X2014",0
"523","GUU","BE","X2014",0
"524","GUU","BE","X2014",0
"525","GUU","BE","X2014",183
"526","GUU","BE","X2014",0
"527","GUU","BE","X2014",43
"528","GUU","BE","X2014",140
"529","GUU","BE","X2014",0
"530","GUU","BE","X2014",0
"531","GUU","BE","X2014",0
"532","GUU","BE","X2014",0
"533","GUU","BE","X2014",0
"534","GUU","BE","X2014",0
"535","GUU","BE","X2014",0
"536","GUU","BE","X2014",0
"537","GUU","BE","X2014",529
"538","GUU","BE","X2014",3
"539","GUU","BE","X2014",496
"540","GUU","BE","X2014",6
"541","GUU","BE","X2014",15
"542","GUU","BE","X2014",9
"543","GUU","BE","X2014",0
"544","GUU","BE","X2014",0
"545","GUU","BE","X2014",0
"546","GUU","BE","X2014",19
"547","GUU","BE","X2014",0
"548","GUU","BE","X2014",18
"549","GUU","BE","X2014",0
"550","GUX","BE","X2014",0
"551","GUX","BE","X2014",0
"552","GUX","BE","X2014",0
"553","GUX","BE","X2014",0
"554","GUX","BE","X2014",0
"555","GUX","BE","X2014",0
"556","GUX","BE","X2014",0
"557","GUX","BE","X2014",0
"558","GUX","BE","X2014",0
"559","GUX","BE","X2014",0
"560","GUX","BE","X2014",0
"561","GUX","BE","X2014",0
"562","GUX","BE","X2014",0
"563","GUX","BE","X2014",0
"564","HAD","BE","X2014",206
"565","HAD","BE","X2014",0
"566","HAD","BE","X2014",0
"567","HAD","BE","X2014",0
"568","HAD","BE","X2014",0
"569","HAD","BE","X2014",0
"570","HAD","BE","X2014",0
"571","HAD","BE","X2014",0
"572","HAD","BE","X2014",98
"573","HAD","BE","X2014",0
"574","HAD","BE","X2014",97
"575","HAD","BE","X2014",1
"576","HAD","BE","X2014",0
"577","HAD","BE","X2014",0
"578","HAD","BE","X2014",0
"579","HAD","BE","X2014",0
"580","HAD","BE","X2014",0
"581","HAD","BE","X2014",0
"582","HAD","BE","X2014",0
"583","HAD","BE","X2014",0
"584","HAD","BE","X2014",0
"585","HAD","BE","X2014",0
"586","HAD","BE","X2014",107
"587","HAD","BE","X2014",7
"588","HAD","BE","X2014",0
"589","HAD","BE","X2014",1
"590","HAD","BE","X2014",1
"591","HAD","BE","X2014",64
"592","HAD","BE","X2014",34
"593","HAD","BE","X2014",0
"594","HAD","BE","X2014",0
"595","HAD","BE","X2014",0
"596","HAD","BE","X2014",0
"597","HAD","BE","X2014",0
"598","HAD","BE","X2014",0
"599","HAD","BE","X2014",0
"600","HAL","BE","X2014",1
"601","HAL","BE","X2014",0
"602","HAL","BE","X2014",0
"603","HAL","BE","X2014",0
"604","HAL","BE","X2014",0
"605","HAL","BE","X2014",0
"606","HAL","BE","X2014",0
"607","HAL","BE","X2014",0
"608","HAL","BE","X2014",1
"609","HAL","BE","X2014",0
"610","HAL","BE","X2014",1
"611","HAL","BE","X2014",0
"612","HAL","BE","X2014",0
"613","HAL","BE","X2014",0
"614","HAL","BE","X2014",0
"615","HAL","BE","X2014",0
"616","HAL","BE","X2014",0
"617","HAL","BE","X2014",0
"618","HAL","BE","X2014",0
"619","HAL","BE","X2014",0
"620","HAL","BE","X2014",0
"621","HAL","BE","X2014",0
"622","HAL","BE","X2014",0
"623","HAL","BE","X2014",0
"624","HAL","BE","X2014",0
"625","HAL","BE","X2014",0
"626","HAL","BE","X2014",0
"627","HAL","BE","X2014",0
"628","HER","BE","X2014",27
"629","HER","BE","X2014",2
"630","HER","BE","X2014",0
"631","HER","BE","X2014",0
"632","HER","BE","X2014",2
"633","HER","BE","X2014",0
"634","HER","BE","X2014",0
"635","HER","BE","X2014",0
"636","HER","BE","X2014",0
"637","HER","BE","X2014",0
"638","HER","BE","X2014",25
"639","HER","BE","X2014",25
"640","HER","BE","X2014",0
"641","HER","BE","X2014",0
"642","HER","BE","X2014",0
"643","HER","BE","X2014",0
"644","HKE","BE","X2014",60
"645","HKE","BE","X2014",0
"646","HKE","BE","X2014",0
"647","HKE","BE","X2014",0
"648","HKE","BE","X2014",0
"649","HKE","BE","X2014",0
"650","HKE","BE","X2014",0
"651","HKE","BE","X2014",42
"652","HKE","BE","X2014",0
"653","HKE","BE","X2014",42
"654","HKE","BE","X2014",0
"655","HKE","BE","X2014",0
"656","HKE","BE","X2014",0
"657","HKE","BE","X2014",0
"658","HKE","BE","X2014",0
"659","HKE","BE","X2014",0
"660","HKE","BE","X2014",0
"661","HKE","BE","X2014",0
"662","HKE","BE","X2014",0
"663","HKE","BE","X2014",12
"664","HKE","BE","X2014",1
"665","HKE","BE","X2014",1
"666","HKE","BE","X2014",0
"667","HKE","BE","X2014",5
"668","HKE","BE","X2014",6
"669","HKE","BE","X2014",0
"670","HKE","BE","X2014",0
"671","HKE","BE","X2014",0
"672","HKE","BE","X2014",6
"673","HKE","BE","X2014",0
"674","HKE","BE","X2014",6
"675","HKE","BE","X2014",0
"676","HKE","BE","X2014",0
"677","HOM","BE","X2014",0
"678","HOM","BE","X2014",0
"679","HOM","BE","X2014",0
"680","HOM","BE","X2014",0
"681","HOM","BE","X2014",0
"682","HOM","BE","X2014",0
"683","HOM","BE","X2014",0
"684","HOM","BE","X2014",0
"685","HOM","BE","X2014",0
"686","HOM","BE","X2014",0
"687","HOM","BE","X2014",0
"688","HOM","BE","X2014",0
"689","HOM","BE","X2014",0
"690","HOM","BE","X2014",0
"691","HOM","BE","X2014",0
"692","HOM","BE","X2014",0
"693","HOM","BE","X2014",0
"694","HOM","BE","X2014",0
"695","INV","BE","X2014",0
"696","INV","BE","X2014",0
"697","INV","BE","X2014",0
"698","INV","BE","X2014",0
"699","INV","BE","X2014",0
"700","INV","BE","X2014",0
"701","INV","BE","X2014",0
"702","INV","BE","X2014",0
"703","INV","BE","X2014",0
"704","INV","BE","X2014",0
"705","INV","BE","X2014",0
"706","INV","BE","X2014",0
"707","JAX","BE","X2014",74
"708","JAX","BE","X2014",59
"709","JAX","BE","X2014",1
"710","JAX","BE","X2014",58
"711","JAX","BE","X2014",15
"712","JAX","BE","X2014",15
"713","JAX","BE","X2014",0
"714","JOD","BE","X2014",33
"715","JOD","BE","X2014",1
"716","JOD","BE","X2014",0
"717","JOD","BE","X2014",1
"718","JOD","BE","X2014",31
"719","JOD","BE","X2014",1
"720","JOD","BE","X2014",7
"721","JOD","BE","X2014",1
"722","JOD","BE","X2014",12
"723","JOD","BE","X2014",11
"724","JOD","BE","X2014",0
"725","JOD","BE","X2014",1
"726","JOD","BE","X2014",1
"727","LBE","BE","X2014",3
"728","LBE","BE","X2014",0
"729","LBE","BE","X2014",0
"730","LBE","BE","X2014",1
"731","LBE","BE","X2014",0
"732","LBE","BE","X2014",1
"733","LBE","BE","X2014",0
"734","LBE","BE","X2014",0
"735","LBE","BE","X2014",0
"736","LBE","BE","X2014",0
"737","LBE","BE","X2014",2
"738","LBE","BE","X2014",0
"739","LBE","BE","X2014",2
"740","LBE","BE","X2014",0
"741","LBE","BE","X2014",0
