Species,Country,2014,2013,2012,2011,2010,2009,2008,2007,2006
COD,BE,85,96,135,44,17,14,39,65,52
COD,BE,54,101,140,66,30,26,22,37,44
COD,BE,1,0,1,0,1,2,1,1,1
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COD,BE,0,0,0,0,0,0,0,0,0
COE,BE,40,27,38,31,27,31,65,81,58
COE,BE,1,0,0,0,1,1,2,1,2
COE,BE,0,0,0,0,0,0,0,0,0
COE,BE,0,0,0,0,0,0,0,0,0
COE,BE,0,0,0,0,1,1,2,1,1
COE,BE,0,0,0,0,0,0,0,0,0
COE,BE,0,0,0,0,0,0,0,0,0
COE,BE,0,0,0,0,0,0,0,0,0
COE,BE,0,0,0,0,0,0,0,0,0
COE,BE,0,0,0,0,0,0,0,0,0
COE,BE,39,25,34,30,25,28,61,78,54
COE,BE,2,2,2,2,2,2,3,8,6
COE,BE,16,6,8,10,11,11,21,21,16
COE,BE,3,4,7,5,3,4,18,23,13
COE,BE,11,5,6,4,3,5,8,11,5
COE,BE,7,8,11,8,5,6,10,14,14
COE,BE,0,0,0,0,0,0,0,0,0
COE,BE,0,0,0,0,0,0,0,0,0
COE,BE,0,0,0,0,0,0,0,0,0
COE,BE,1,2,3,1,1,2,2,2,2
COE,BE,0,0,2,0,0,0,0,0,0
COE,BE,1,2,2,1,1,2,2,2,2
COE,BE,0,0,0,0,0,0,0,0,0
CRE,BE,272,271,272,104,95,45,115,130,112
CRE,BE,0,0,0,0,0,0,0,0,0
CRE,BE,0,0,0,0,0,0,0,0,0
CRE,BE,110,108,95,43,36,21,61,60,46
CRE,BE,0,0,0,0,0,0,0,0,0
CRE,BE,94,98,88,39,31,17,49,54,38
CRE,BE,16,10,7,4,5,3,12,5,8
CRE,BE,0,0,0,0,0,0,0,0,0
CRE,BE,0,0,0,0,0,0,0,0,0
CRE,BE,0,0,0,0,0,0,0,0,0
CRE,BE,0,0,0,0,0,0,0,0,0
CRE,BE,0,0,0,0,0,0,0,0,0
CRE,BE,0,0,0,0,0,0,0,0,0
CRE,BE,144,147,164,55,55,23,46,65,62
CRE,BE,4,7,7,3,3,1,3,5,5
CRE,BE,70,58,61,19,21,6,17,26,24
CRE,BE,7,12,10,7,3,1,4,6,3
CRE,BE,26,23,31,9,6,2,6,8,5
CRE,BE,36,48,55,19,22,13,17,20,25
